"Encargad@","Número interno del taxón
""internal_taxon_id""","REINO","PHYLLUM","CLASE","ORDEN","FAMILIA","GÉNERO","ESPECIE","AUTOR","NOMBRE CIENTÍFICO sin autor","REFERENCIA DEL TIPO","LISTA DE SINÓNIMOS con autor","GÉNERO DE SINÓNIMOS","EPÍTETO DE SINONIMOS","AUTORES DE SINÓNIMOS","NOMBRE COMÚN PRINCIPAL","CÓDIGO SIS LENGUAJE DEL NOMBRE COMÚN PRINCIPAL","REPORTE DE NOMBRE COMÚN PRINCIPAL SIS","CÓDIGO SIS USOS","REPORTE DE NO USO SIS","DESCRIPCIÓN DE USOS Y COMERCIO","REPORTE USO INDIRECTO SIS","CÓDIGOS SIS HÁBITO","CÓDIGO SIS HABITO TEXTO","DESCRIPCIÓN MORFOLÓGICA","CÓDIGO SIS PAÍS","CÓDIGO SIS PAÍS TEXTO","CÓDIGO SIS ORIGEN","CÓDIGO SIS PRESENCIA","LÍMITE INFERIOR RANGO ALTITUDINAL","LÍMITE SUPERIOR RANGO ALTITUDINAL","CÓDIGO SIS REGIÓN BIOGEOGRÁFICA","DESCRIPCIÓN DISTRIBUCIÓN GEOGRÁFICA","CÓDIGO SIS MAPA","CÓDIGO SIS TERRESTRE O ACUÁTICA","CÓDIGO SIS CALIDAD DEL HÁBITAT","CÓDIGO SIS TIPO DE HÁBITAT","DESCRIPCIÓN HÁBITAT GENERAL","DESCRIPCIÓN ECOLOGÍA GENERAL","RESUMEN HABITAT Y ECOLOGÍA","TIPO
DISPERSION","OBSERVACIONES A DISPERSIÓN","DISTANCIA MÁXIMA DE DISPERSIÓN","UMBRAL PARCHE PEQUEÑO","NOMBRE CIENTÍFICO sin autor.1","EOO (S RedList)","AOO (S RedList)","EOO (km2)","AOO (km2)","# SUBPOBLACIONES","# LOCALIDADES ""locations""","% OCURRENCIAS EN AREAS PROTEGIDAS","% PARCHES PEQUEÑOS Y AISLADOS","% HUELLA HUMANA EN LA AOO","REPORTE SUBPOBLACIONES DESAPARECIDAS","CÓDIGO SIS FRAGMENTACIÓN","DESCRIPCIÓN DE FRAGMENTACIÓN SIS","CÓDIGO SIS DISMINUCIÓN CONTINUA HÁBITAT","DESCRIPCIÓN DE DISMINUCIÓN CONTINUA HÁBITAT SIS","CÓDIGO SIS FUENTE DE LA DISM. CONTINUA HÁBITAT","CÓDIGO SIS DISMINUCIÓN CONTINUA SUBPOBLACIONES","DESCRIPCIÓN DE DISMINUCIÓN CONTINUA SUBPOBLACIONES SIS","CÓDIGO SIS FUENTE DE LA DISM. CONTINUA SUBPOBLACIONES","DESCRIPCIÓN TAMAÑO POBLACIONAL Y DEMOGRAFÍA","DESCRIPCIÓN AMENAZAS","CÓDIGO SIS AMENAZAS","CÓDIGO SIS TIEMPO DE LAS AMENAZAS","CÓDIGO SIS ALCANCE DE LAS AMENAZAS","CÓDIGO SIS SEVERIDAD DE LAS AMENAZAS","CÓDIGO SIS PRESIONES RESULTADO DE AMENAZAS","REPORTE DE ""NO AMENAZAS"" SIS","REPORTE DE ""AMENAZAS DESCONOCIDAS"" SIS","CÓDIGO SIS TENDENCIA POBLACIONAL","CÓDIGO SIS FUENTE DE LA TENDENCIA POBLACIONAL","DESCRIPCIÓN ACCIONES DE CONSERVACIÓN","REPORTE DE PRESENCIA EN AREAS PROTEGIDAS","LISTADO DE AREAS PROTEGIDAS CON OCURRENCIAS","REPORTE DE CONSERVACION EXSITU","LISTADO DE COLECCIONES EXSITU CON INDIVIDUOS","CÓDIGO SIS CONSERVACIÓN REQUERIDA","CÓDIGO SIS INVESTIGACION REQUERIDA","CÓDIGO SIS CATEGORÍA LISTA ROJA","LISTA DE CRITERIOS Y SUBCRITERIOS SIS","REPORTE DE CRITERIOS ingreso manual","REPORTE DE VERSIÓN DE CRITERIOS","REPORTE RAZÓN CATEGORIA DD","REPORTE CATEGORIA EX","DESCRIPICIÓN JUSTIFICACION EVALUACIÓN DE LISTA ROJA","FECHA DE EVALUACIÓN","CÓDIGO SIS LENGUAJE DE LA EVALUACIÓN","REPORTE DE EVALUACIONES PREVIAS","JUSTIFICACIONES DE EVALUACIONES PREVIAS","REPORTE EVALUACIÓN PREVIA DE LR OFICIAL","RAZONES DE CAMBIO DE CATEGORÍA","CÓDIGO SIS TIPO DE CAMBIO DE CATEGORÍA","CÓDIGO SIS NO CAMBIO DE CATEGORÍA","CÓDIGO SIS CAMBIOS GENUINOS Y NO-GENUINOS","LISTA DE CONTRIBUYENTES: PERSONAS","LISTA DE CONTRIBUYENTES: INSTITUCIONES","LISTA DE EVALUADORES","LISTA DE REVISORES","LISTA DE EXPERTOS TAXÓNOMOS","COMENTARIOS DE LA REVISIÓN POR EXPERTOS","REFERENCIAS BIBLIOGRÁFICAS","OBSERVACIONES ADICIONALES"
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","adnatum",NA,"Serpocaulon adnatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216517,332,55,65,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 55 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Barbas Bremen; Cordillera de los Picachos; Cuchilla Jardin Tamesis; Cuenca Hidrografica del Rìo Carare-Minero; Cuenca Hidrográfica del Río La Vieja con POMCA; Cuenca Hidrográfica del Río Negro con POMCA; Cuenca Hidrográfica del Río Recio y Río Venadillo con plan de ordenación y manejo; Cuenca Hidrográfica del Río San Jorge; Cuenca hidrográfica del río Suaza con Plan de Ordenación y Manejo de la Cuenca Hidrográfica; Cuenca Hidrográfica Directos Río Cauca- Río Amagá- Quebrada Sinifaná- NSS; Cuenca Hidrográfica Río Grande y Chico, con Plan de Ordenación y Manejo; De la Cuenca Alta del Río  Quindío de Salento; La Planada; Otún Quimbaya; Planes de San Rafael; Río Nare; Serranía de Los Paraguas; Serranía de Peñas Blancas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","antioquianum",NA,"Serpocaulon antioquianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2182.1,32,5,5,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento cinco subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Bajo Cauca Nechí; Bosques, Mármoles y Pantágoras; Cuenca Hidrográfica de Río Samaná Norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","articulatum",NA,"Serpocaulon articulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364520,52,13,13,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 13 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Carauta; Cuenca hidrográfica del río Suaza con Plan de Ordenación y Manejo de la Cuenca Hidrográfica; Río Anchicayá; Serranía de los Churumbelos  - Auka Wasi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","attenuatum",NA,"Serpocaulon attenuatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento una subpoblacion. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Sierra de la Macarena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","biauriculatum",NA,"Serpocaulon biauriculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98432,12,2,2,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento dos subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Serranía de los Yariguíes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","concolorum",NA,"Serpocaulon concolorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11708.5,12,3,3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento tres subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","La Planada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","dissimile",NA,"Serpocaulon dissimile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164922,72,17,17,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 17 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Cuenca Hidrográfica de Río Samaná Norte; De la Cuenca Alta del Río  Quindío de Salento; Las Orquídeas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","eleutherophlebium",NA,"Serpocaulon eleutherophlebium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178347,184,28,35,45.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 28 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Bosque Oriental de Bogotá; Cuenca Hidrográfica del Río Recio y Río Venadillo con plan de ordenación y manejo; Cuenca Hidrográfica del Río San Jorge; Cuenca Hidrográfica Río Juanambú; De la Cuenca Alta del Río  Quindío de Salento; De Urrao; Las Cuencas Hidrográficas del Río Blanco y Quebrada Olivares; Los Bosques de la Chec; Páramo de Guargua y Laguna Verde; Páramo Grande; Puracé; Sistema de Paramos y Bosques Altoandinos del Noroccidente Medio Antioqueño; Sumapaz; Tatamá; Torre Cuatro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","fraxinifolium",NA,"Serpocaulon fraxinifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318579,448,76,90,51.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 76 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Barbas Bremen; Cacica Noría; Campoalegre; Carauta; Cerro Bravo; Cuenca  Alta del Río Atrato; Cuenca Hidrográfica de Río Samaná Norte; Cuenca Hidrográfica del Río La Vieja con POMCA; Cuenca Hidrográfica del Río Negro con POMCA; Cuenca Hidrográfica del Río Recio y Río Venadillo con plan de ordenación y manejo; Cuenca Hidrográfica Del Río San Juan; Cuenca hidrográfica del río Suaza con Plan de Ordenación y Manejo de la Cuenca Hidrográfica; Cuenca Hidrográfica Directos Río Cauca- Río Amagá- Quebrada Sinifaná- NSS; Cuenca Hidrográfica Río Grande y Chico, con Plan de Ordenación y Manejo; De la Cuenca Alta del Río  Quindío de Salento; Del Nima; Divisoria Valle de Aburra Rio Cauca; Embalse el Peñol y Cuenca Alta del Río Guatapé; Farallones de Cali; Farallones del Citará; Guanentá Alto Río Fonce; Iguaque; La Mesenia Paramillo-El Desierto; Las Orquídeas; Otún Quimbaya; Páramo de Vida Maitamá - Sonsón; Páramo Grande; Río Anchicayá; Río Cali; Río Nare; Sector Salto del Tequendama y Cerro Manjuí; Selva de Florencia; Serranía de los Yariguíes; Serranía de Peñas Blancas; Sierra de la Macarena; Sierra Nevada de Santa Marta; Sistema de Paramos y Bosques Altoandinos del Noroccidente Medio Antioqueño; Tatamá; Ucumarí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Serpocaulon","funckii",NA,"Serpocaulon funckii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138336,116,19,23,62.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La especie tiene registradas hasta el momento 19 subpoblaciones. No se conoce nada sobre la abundancia o tendencia poblacional de la especie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","Bajo Cauca Nechí; Cacica Noría; Carauta; Cuenca Hidrográfica de Río Samaná Norte; Cuenca Hidrográfica del Río Negro con POMCA; Cuenca Hidrográfica del Río Pamplonita; Cuenca Hidrográfica Directos Río Cauca- Río Amagá- Quebrada Sinifaná- NSS; De Urrao; Divisoria Valle de Aburra Rio Cauca; Embalse el Peñol y Cuenca Alta del Río Guatapé; Las Orquídeas; Páramo de Rabanal; Páramo de Vida Maitamá - Sonsón; Río Nare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
